NMI,Period,kWh Value,kVARh Value,kW,kVAR,Max kW,Demand kVA,PF,CO2,No Of Meters,Start Time,End Time,kWh Actual,kWh Estimate,Minimum Temperature,Maximum Temperature,Site ID,TOU Demand kW,TOU Demand kVA
2002107042,2016-03-01 00:00:00,20.320,0.480,40.640,0.960,40.640,40.651,0.9997,12.3952,1,2016-03-01 00:00:00,2016-03-01 00:15:00,20.320,0.000,,,"",0.000,0.000
2002107042,2016-03-01 00:30:00,18.080,0.320,36.160,0.640,36.160,36.166,0.9998,11.0288,1,2016-03-01 00:30:00,2016-03-01 00:45:00,18.080,0.000,,,"",0.000,0.000
2002107042,2016-03-01 01:00:00,19.840,0.320,39.680,0.640,39.680,39.685,0.9999,12.1024,1,2016-03-01 01:00:00,2016-03-01 01:15:00,19.840,0.000,,,"",0.000,0.000
2002107042,2016-03-01 01:30:00,19.840,0.320,39.680,0.640,39.680,39.685,0.9999,12.1024,1,2016-03-01 01:30:00,2016-03-01 01:45:00,19.840,0.000,,,"",0.000,0.000
2002107042,2016-03-01 02:00:00,18.880,0.480,37.760,0.960,37.760,37.772,0.9997,11.5168,1,2016-03-01 02:00:00,2016-03-01 02:15:00,18.880,0.000,,,"",0.000,0.000
2002107042,2016-03-01 02:30:00,19.680,0.320,39.360,0.640,39.360,39.365,0.9999,12.0048,1,2016-03-01 02:30:00,2016-03-01 02:45:00,19.680,0.000,,,"",0.000,0.000
2002107042,2016-03-01 03:00:00,20.160,0.160,40.320,0.320,40.320,40.321,1.0000,12.2976,1,2016-03-01 03:00:00,2016-03-01 03:15:00,20.160,0.000,,,"",0.000,0.000
2002107042,2016-03-01 03:30:00,19.520,0.160,39.040,0.320,39.040,39.041,1.0000,11.9072,1,2016-03-01 03:30:00,2016-03-01 03:45:00,19.520,0.000,,,"",0.000,0.000
2002107042,2016-03-01 04:00:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-01 04:00:00,2016-03-01 04:15:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-01 04:30:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-01 04:30:00,2016-03-01 04:45:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-01 05:00:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-01 05:00:00,2016-03-01 05:15:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-01 05:30:00,18.560,0.000,37.120,0.000,37.120,37.120,1.0000,11.3216,1,2016-03-01 05:30:00,2016-03-01 05:45:00,18.560,0.000,,,"",0.000,0.000
2002107042,2016-03-01 06:00:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-01 06:00:00,2016-03-01 06:15:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-01 06:30:00,19.040,0.000,38.080,0.000,38.080,38.080,1.0000,11.6144,1,2016-03-01 06:30:00,2016-03-01 06:45:00,19.040,0.000,,,"",0.000,0.000
2002107042,2016-03-01 07:00:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-01 07:00:00,2016-03-01 07:15:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-01 07:30:00,20.320,0.000,40.640,0.000,40.640,40.640,1.0000,12.3952,1,2016-03-01 07:30:00,2016-03-01 07:45:00,20.320,0.000,,,"",0.000,0.000
2002107042,2016-03-01 08:00:00,19.840,0.000,39.680,0.000,39.680,39.680,1.0000,12.1024,1,2016-03-01 08:00:00,2016-03-01 08:15:00,19.840,0.000,,,"",0.000,0.000
2002107042,2016-03-01 08:30:00,18.880,0.000,37.760,0.000,37.760,37.760,1.0000,11.5168,1,2016-03-01 08:30:00,2016-03-01 08:45:00,18.880,0.000,,,"",0.000,0.000
2002107042,2016-03-01 09:00:00,20.000,0.320,40.000,0.640,40.000,40.005,0.9999,12.2000,1,2016-03-01 09:00:00,2016-03-01 09:15:00,20.000,0.000,,,"",0.000,0.000
2002107042,2016-03-01 09:30:00,21.120,0.480,42.240,0.960,42.240,42.251,0.9997,12.8832,1,2016-03-01 09:30:00,2016-03-01 09:45:00,21.120,0.000,,,"",0.000,0.000
2002107042,2016-03-01 10:00:00,22.080,0.800,44.160,1.600,44.160,44.189,0.9993,13.4688,1,2016-03-01 10:00:00,2016-03-01 10:15:00,22.080,0.000,,,"",0.000,0.000
2002107042,2016-03-01 10:30:00,21.600,0.640,43.200,1.280,43.200,43.219,0.9996,13.1760,1,2016-03-01 10:30:00,2016-03-01 10:45:00,21.600,0.000,,,"",0.000,0.000
2002107042,2016-03-01 11:00:00,21.120,1.120,42.240,2.240,42.240,42.299,0.9986,12.8832,1,2016-03-01 11:00:00,2016-03-01 11:15:00,21.120,0.000,,,"",0.000,0.000
2002107042,2016-03-01 11:30:00,24.000,1.440,48.000,2.880,48.000,48.086,0.9982,14.6400,1,2016-03-01 11:30:00,2016-03-01 11:45:00,24.000,0.000,,,"",0.000,0.000
2002107042,2016-03-01 12:00:00,24.000,1.280,48.000,2.560,48.000,48.068,0.9986,14.6400,1,2016-03-01 12:00:00,2016-03-01 12:15:00,24.000,0.000,,,"",0.000,0.000
2002107042,2016-03-01 12:30:00,23.680,1.600,47.360,3.200,47.360,47.468,0.9977,14.4448,1,2016-03-01 12:30:00,2016-03-01 12:45:00,23.680,0.000,,,"",0.000,0.000
2002107042,2016-03-01 13:00:00,24.960,1.600,49.920,3.200,49.920,50.022,0.9980,15.2256,1,2016-03-01 13:00:00,2016-03-01 13:15:00,24.960,0.000,,,"",0.000,0.000
2002107042,2016-03-01 13:30:00,21.440,1.600,42.880,3.200,42.880,42.999,0.9972,13.0784,1,2016-03-01 13:30:00,2016-03-01 13:45:00,21.440,0.000,,,"",0.000,0.000
2002107042,2016-03-01 14:00:00,22.880,1.600,45.760,3.200,45.760,45.872,0.9976,13.9568,1,2016-03-01 14:00:00,2016-03-01 14:15:00,22.880,0.000,,,"",0.000,0.000
2002107042,2016-03-01 14:30:00,22.560,1.600,45.120,3.200,45.120,45.233,0.9975,13.7616,1,2016-03-01 14:30:00,2016-03-01 14:45:00,22.560,0.000,,,"",0.000,0.000
2002107042,2016-03-01 15:00:00,21.600,1.600,43.200,3.200,43.200,43.318,0.9973,13.1760,1,2016-03-01 15:00:00,2016-03-01 15:15:00,21.600,0.000,,,"",0.000,0.000
2002107042,2016-03-01 15:30:00,24.000,1.920,48.000,3.840,48.000,48.153,0.9968,14.6400,1,2016-03-01 15:30:00,2016-03-01 15:45:00,24.000,0.000,,,"",0.000,0.000
2002107042,2016-03-01 16:00:00,21.280,1.600,42.560,3.200,42.560,42.680,0.9972,12.9808,1,2016-03-01 16:00:00,2016-03-01 16:15:00,21.280,0.000,,,"",0.000,0.000
2002107042,2016-03-01 16:30:00,23.680,1.600,47.360,3.200,47.360,47.468,0.9977,14.4448,1,2016-03-01 16:30:00,2016-03-01 16:45:00,23.680,0.000,,,"",0.000,0.000
2002107042,2016-03-01 17:00:00,20.480,1.440,40.960,2.880,40.960,41.061,0.9975,12.4928,1,2016-03-01 17:00:00,2016-03-01 17:15:00,20.480,0.000,,,"",0.000,0.000
2002107042,2016-03-01 17:30:00,24.800,1.760,49.600,3.520,49.600,49.725,0.9975,15.1280,1,2016-03-01 17:30:00,2016-03-01 17:45:00,24.800,0.000,,,"",0.000,0.000
2002107042,2016-03-01 18:00:00,22.240,1.760,44.480,3.520,44.480,44.619,0.9969,13.5664,1,2016-03-01 18:00:00,2016-03-01 18:15:00,22.240,0.000,,,"",0.000,0.000
2002107042,2016-03-01 18:30:00,24.960,1.760,49.920,3.520,49.920,50.044,0.9975,15.2256,1,2016-03-01 18:30:00,2016-03-01 18:45:00,24.960,0.000,,,"",0.000,0.000
2002107042,2016-03-01 19:00:00,24.000,1.600,48.000,3.200,48.000,48.107,0.9978,14.6400,1,2016-03-01 19:00:00,2016-03-01 19:15:00,24.000,0.000,,,"",0.000,0.000
2002107042,2016-03-01 19:30:00,23.200,1.440,46.400,2.880,46.400,46.489,0.9981,14.1520,1,2016-03-01 19:30:00,2016-03-01 19:45:00,23.200,0.000,,,"",0.000,0.000
2002107042,2016-03-01 20:00:00,23.360,1.440,46.720,2.880,46.720,46.809,0.9981,14.2496,1,2016-03-01 20:00:00,2016-03-01 20:15:00,23.360,0.000,,,"",0.000,0.000
2002107042,2016-03-01 20:30:00,22.560,1.280,45.120,2.560,45.120,45.193,0.9984,13.7616,1,2016-03-01 20:30:00,2016-03-01 20:45:00,22.560,0.000,,,"",0.000,0.000
2002107042,2016-03-01 21:00:00,20.000,0.800,40.000,1.600,40.000,40.032,0.9992,12.2000,1,2016-03-01 21:00:00,2016-03-01 21:15:00,20.000,0.000,,,"",0.000,0.000
2002107042,2016-03-01 21:30:00,20.320,0.640,40.640,1.280,40.640,40.660,0.9995,12.3952,1,2016-03-01 21:30:00,2016-03-01 21:45:00,20.320,0.000,,,"",0.000,0.000
2002107042,2016-03-01 22:00:00,19.680,0.640,39.360,1.280,39.360,39.381,0.9995,12.0048,1,2016-03-01 22:00:00,2016-03-01 22:15:00,19.680,0.000,,,"",0.000,0.000
2002107042,2016-03-01 22:30:00,19.680,0.640,39.360,1.280,39.360,39.381,0.9995,12.0048,1,2016-03-01 22:30:00,2016-03-01 22:45:00,19.680,0.000,,,"",0.000,0.000
2002107042,2016-03-01 23:00:00,19.040,0.640,38.080,1.280,38.080,38.102,0.9994,11.6144,1,2016-03-01 23:00:00,2016-03-01 23:15:00,19.040,0.000,,,"",0.000,0.000
2002107042,2016-03-01 23:30:00,17.600,0.640,35.200,1.280,35.200,35.223,0.9993,10.7360,1,2016-03-01 23:30:00,2016-03-01 23:45:00,17.600,0.000,,,"",0.000,0.000
2002107042,2016-03-02 00:00:00,18.560,0.480,37.120,0.960,37.120,37.132,0.9997,11.3216,1,2016-03-02 00:00:00,2016-03-02 00:15:00,18.560,0.000,,,"",0.000,0.000
2002107042,2016-03-02 00:30:00,19.840,0.320,39.680,0.640,39.680,39.685,0.9999,12.1024,1,2016-03-02 00:30:00,2016-03-02 00:45:00,19.840,0.000,,,"",0.000,0.000
2002107042,2016-03-02 01:00:00,18.240,0.320,36.480,0.640,36.480,36.486,0.9998,11.1264,1,2016-03-02 01:00:00,2016-03-02 01:15:00,18.240,0.000,,,"",0.000,0.000
2002107042,2016-03-02 01:30:00,20.160,0.480,40.320,0.960,40.320,40.331,0.9997,12.2976,1,2016-03-02 01:30:00,2016-03-02 01:45:00,20.160,0.000,,,"",0.000,0.000
2002107042,2016-03-02 02:00:00,19.360,0.320,38.720,0.640,38.720,38.725,0.9999,11.8096,1,2016-03-02 02:00:00,2016-03-02 02:15:00,19.360,0.000,,,"",0.000,0.000
2002107042,2016-03-02 02:30:00,18.240,0.160,36.480,0.320,36.480,36.481,1.0000,11.1264,1,2016-03-02 02:30:00,2016-03-02 02:45:00,18.240,0.000,,,"",0.000,0.000
2002107042,2016-03-02 03:00:00,19.520,0.160,39.040,0.320,39.040,39.041,1.0000,11.9072,1,2016-03-02 03:00:00,2016-03-02 03:15:00,19.520,0.000,,,"",0.000,0.000
2002107042,2016-03-02 03:30:00,17.920,0.160,35.840,0.320,35.840,35.841,1.0000,10.9312,1,2016-03-02 03:30:00,2016-03-02 03:45:00,17.920,0.000,,,"",0.000,0.000
2002107042,2016-03-02 04:00:00,19.680,0.160,39.360,0.320,39.360,39.361,1.0000,12.0048,1,2016-03-02 04:00:00,2016-03-02 04:15:00,19.680,0.000,,,"",0.000,0.000
2002107042,2016-03-02 04:30:00,18.880,0.000,37.760,0.000,37.760,37.760,1.0000,11.5168,1,2016-03-02 04:30:00,2016-03-02 04:45:00,18.880,0.000,,,"",0.000,0.000
2002107042,2016-03-02 05:00:00,19.360,0.160,38.720,0.320,38.720,38.721,1.0000,11.8096,1,2016-03-02 05:00:00,2016-03-02 05:15:00,19.360,0.000,,,"",0.000,0.000
2002107042,2016-03-02 05:30:00,19.040,0.160,38.080,0.320,38.080,38.081,1.0000,11.6144,1,2016-03-02 05:30:00,2016-03-02 05:45:00,19.040,0.000,,,"",0.000,0.000
2002107042,2016-03-02 06:00:00,19.200,0.160,38.400,0.320,38.400,38.401,1.0000,11.7120,1,2016-03-02 06:00:00,2016-03-02 06:15:00,19.200,0.000,,,"",0.000,0.000
2002107042,2016-03-02 06:30:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-02 06:30:00,2016-03-02 06:45:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-02 07:00:00,18.560,0.000,37.120,0.000,37.120,37.120,1.0000,11.3216,1,2016-03-02 07:00:00,2016-03-02 07:15:00,18.560,0.000,,,"",0.000,0.000
2002107042,2016-03-02 07:30:00,20.480,0.000,40.960,0.000,40.960,40.960,1.0000,12.4928,1,2016-03-02 07:30:00,2016-03-02 07:45:00,20.480,0.000,,,"",0.000,0.000
2002107042,2016-03-02 08:00:00,21.120,0.160,42.240,0.320,42.240,42.241,1.0000,12.8832,1,2016-03-02 08:00:00,2016-03-02 08:15:00,21.120,0.000,,,"",0.000,0.000
2002107042,2016-03-02 08:30:00,21.600,0.480,43.200,0.960,43.200,43.211,0.9998,13.1760,1,2016-03-02 08:30:00,2016-03-02 08:45:00,21.600,0.000,,,"",0.000,0.000
2002107042,2016-03-02 09:00:00,21.600,0.480,43.200,0.960,43.200,43.211,0.9998,13.1760,1,2016-03-02 09:00:00,2016-03-02 09:15:00,21.600,0.000,,,"",0.000,0.000
2002107042,2016-03-02 09:30:00,21.120,0.640,42.240,1.280,42.240,42.259,0.9995,12.8832,1,2016-03-02 09:30:00,2016-03-02 09:45:00,21.120,0.000,,,"",0.000,0.000
2002107042,2016-03-02 10:00:00,21.280,0.640,42.560,1.280,42.560,42.579,0.9995,12.9808,1,2016-03-02 10:00:00,2016-03-02 10:15:00,21.280,0.000,,,"",0.000,0.000
2002107042,2016-03-02 10:30:00,22.880,1.280,45.760,2.560,45.760,45.832,0.9984,13.9568,1,2016-03-02 10:30:00,2016-03-02 10:45:00,22.880,0.000,,,"",0.000,0.000
2002107042,2016-03-02 11:00:00,24.320,1.280,48.640,2.560,48.640,48.707,0.9986,14.8352,1,2016-03-02 11:00:00,2016-03-02 11:15:00,24.320,0.000,,,"",0.000,0.000
2002107042,2016-03-02 11:30:00,22.720,1.600,45.440,3.200,45.440,45.553,0.9975,13.8592,1,2016-03-02 11:30:00,2016-03-02 11:45:00,22.720,0.000,,,"",0.000,0.000
2002107042,2016-03-02 12:00:00,24.160,1.600,48.320,3.200,48.320,48.426,0.9978,14.7376,1,2016-03-02 12:00:00,2016-03-02 12:15:00,24.160,0.000,,,"",0.000,0.000
2002107042,2016-03-02 12:30:00,22.560,1.760,45.120,3.520,45.120,45.257,0.9970,13.7616,1,2016-03-02 12:30:00,2016-03-02 12:45:00,22.560,0.000,,,"",0.000,0.000
2002107042,2016-03-02 13:00:00,24.800,1.920,49.600,3.840,49.600,49.748,0.9970,15.1280,1,2016-03-02 13:00:00,2016-03-02 13:15:00,24.800,0.000,,,"",0.000,0.000
2002107042,2016-03-02 13:30:00,22.560,1.920,45.120,3.840,45.120,45.283,0.9964,13.7616,1,2016-03-02 13:30:00,2016-03-02 13:45:00,22.560,0.000,,,"",0.000,0.000
2002107042,2016-03-02 14:00:00,21.920,1.760,43.840,3.520,43.840,43.981,0.9968,13.3712,1,2016-03-02 14:00:00,2016-03-02 14:15:00,21.920,0.000,,,"",0.000,0.000
2002107042,2016-03-02 14:30:00,23.040,1.760,46.080,3.520,46.080,46.214,0.9971,14.0544,1,2016-03-02 14:30:00,2016-03-02 14:45:00,23.040,0.000,,,"",0.000,0.000
2002107042,2016-03-02 15:00:00,22.720,1.600,45.440,3.200,45.440,45.553,0.9975,13.8592,1,2016-03-02 15:00:00,2016-03-02 15:15:00,22.720,0.000,,,"",0.000,0.000
2002107042,2016-03-02 15:30:00,22.560,1.600,45.120,3.200,45.120,45.233,0.9975,13.7616,1,2016-03-02 15:30:00,2016-03-02 15:45:00,22.560,0.000,,,"",0.000,0.000
2002107042,2016-03-02 16:00:00,22.400,1.600,44.800,3.200,44.800,44.914,0.9975,13.6640,1,2016-03-02 16:00:00,2016-03-02 16:15:00,22.400,0.000,,,"",0.000,0.000
2002107042,2016-03-02 16:30:00,23.680,2.400,47.360,4.800,47.360,47.603,0.9949,14.4448,1,2016-03-02 16:30:00,2016-03-02 16:45:00,23.680,0.000,,,"",0.000,0.000
2002107042,2016-03-02 17:00:00,23.200,1.920,46.400,3.840,46.400,46.559,0.9966,14.1520,1,2016-03-02 17:00:00,2016-03-02 17:15:00,23.200,0.000,,,"",0.000,0.000
2002107042,2016-03-02 17:30:00,21.920,2.240,43.840,4.480,43.840,44.068,0.9948,13.3712,1,2016-03-02 17:30:00,2016-03-02 17:45:00,21.920,0.000,,,"",0.000,0.000
2002107042,2016-03-02 18:00:00,24.160,2.400,48.320,4.800,48.320,48.558,0.9951,14.7376,1,2016-03-02 18:00:00,2016-03-02 18:15:00,24.160,0.000,,,"",0.000,0.000
2002107042,2016-03-02 18:30:00,22.080,1.760,44.160,3.520,44.160,44.300,0.9968,13.4688,1,2016-03-02 18:30:00,2016-03-02 18:45:00,22.080,0.000,,,"",0.000,0.000
2002107042,2016-03-02 19:00:00,23.040,1.760,46.080,3.520,46.080,46.214,0.9971,14.0544,1,2016-03-02 19:00:00,2016-03-02 19:15:00,23.040,0.000,,,"",0.000,0.000
2002107042,2016-03-02 19:30:00,22.240,1.600,44.480,3.200,44.480,44.595,0.9974,13.5664,1,2016-03-02 19:30:00,2016-03-02 19:45:00,22.240,0.000,,,"",0.000,0.000
2002107042,2016-03-02 20:00:00,19.360,0.960,38.720,1.920,38.720,38.768,0.9988,11.8096,1,2016-03-02 20:00:00,2016-03-02 20:15:00,19.360,0.000,,,"",0.000,0.000
2002107042,2016-03-02 20:30:00,20.000,0.640,40.000,1.280,40.000,40.020,0.9995,12.2000,1,2016-03-02 20:30:00,2016-03-02 20:45:00,20.000,0.000,,,"",0.000,0.000
2002107042,2016-03-02 21:00:00,19.360,0.320,38.720,0.640,38.720,38.725,0.9999,11.8096,1,2016-03-02 21:00:00,2016-03-02 21:15:00,19.360,0.000,,,"",0.000,0.000
2002107042,2016-03-02 21:30:00,18.720,0.480,37.440,0.960,37.440,37.452,0.9997,11.4192,1,2016-03-02 21:30:00,2016-03-02 21:45:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-02 22:00:00,20.000,0.640,40.000,1.280,40.000,40.020,0.9995,12.2000,1,2016-03-02 22:00:00,2016-03-02 22:15:00,20.000,0.000,,,"",0.000,0.000
2002107042,2016-03-02 22:30:00,19.520,0.320,39.040,0.640,39.040,39.045,0.9999,11.9072,1,2016-03-02 22:30:00,2016-03-02 22:45:00,19.520,0.000,,,"",0.000,0.000
2002107042,2016-03-02 23:00:00,17.920,0.320,35.840,0.640,35.840,35.846,0.9998,10.9312,1,2016-03-02 23:00:00,2016-03-02 23:15:00,17.920,0.000,,,"",0.000,0.000
2002107042,2016-03-02 23:30:00,19.360,0.320,38.720,0.640,38.720,38.725,0.9999,11.8096,1,2016-03-02 23:30:00,2016-03-02 23:45:00,19.360,0.000,,,"",0.000,0.000
2002107042,2016-03-03 00:00:00,19.200,0.160,38.400,0.320,38.400,38.401,1.0000,11.7120,1,2016-03-03 00:00:00,2016-03-03 00:15:00,19.200,0.000,,,"",0.000,0.000
2002107042,2016-03-03 00:30:00,17.760,0.160,35.520,0.320,35.520,35.521,1.0000,10.8336,1,2016-03-03 00:30:00,2016-03-03 00:45:00,17.760,0.000,,,"",0.000,0.000
2002107042,2016-03-03 01:00:00,19.200,0.160,38.400,0.320,38.400,38.401,1.0000,11.7120,1,2016-03-03 01:00:00,2016-03-03 01:15:00,19.200,0.000,,,"",0.000,0.000
2002107042,2016-03-03 01:30:00,19.200,0.160,38.400,0.320,38.400,38.401,1.0000,11.7120,1,2016-03-03 01:30:00,2016-03-03 01:45:00,19.200,0.000,,,"",0.000,0.000
2002107042,2016-03-03 02:00:00,19.040,0.160,38.080,0.320,38.080,38.081,1.0000,11.6144,1,2016-03-03 02:00:00,2016-03-03 02:15:00,19.040,0.000,,,"",0.000,0.000
2002107042,2016-03-03 02:30:00,19.360,0.320,38.720,0.640,38.720,38.725,0.9999,11.8096,1,2016-03-03 02:30:00,2016-03-03 02:45:00,19.360,0.000,,,"",0.000,0.000
2002107042,2016-03-03 03:00:00,18.880,0.000,37.760,0.000,37.760,37.760,1.0000,11.5168,1,2016-03-03 03:00:00,2016-03-03 03:15:00,18.880,0.000,,,"",0.000,0.000
2002107042,2016-03-03 03:30:00,19.040,0.160,38.080,0.320,38.080,38.081,1.0000,11.6144,1,2016-03-03 03:30:00,2016-03-03 03:45:00,19.040,0.000,,,"",0.000,0.000
2002107042,2016-03-03 04:00:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-03 04:00:00,2016-03-03 04:15:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-03 04:30:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-03 04:30:00,2016-03-03 04:45:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-03 05:00:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-03 05:00:00,2016-03-03 05:15:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-03 05:30:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-03 05:30:00,2016-03-03 05:45:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-03 06:00:00,18.880,0.000,37.760,0.000,37.760,37.760,1.0000,11.5168,1,2016-03-03 06:00:00,2016-03-03 06:15:00,18.880,0.000,,,"",0.000,0.000
2002107042,2016-03-03 06:30:00,19.200,0.000,38.400,0.000,38.400,38.400,1.0000,11.7120,1,2016-03-03 06:30:00,2016-03-03 06:45:00,19.200,0.000,,,"",0.000,0.000
2002107042,2016-03-03 07:00:00,18.720,0.000,37.440,0.000,37.440,37.440,1.0000,11.4192,1,2016-03-03 07:00:00,2016-03-03 07:15:00,18.720,0.000,,,"",0.000,0.000
2002107042,2016-03-03 07:30:00,20.480,0.000,40.960,0.000,40.960,40.960,1.0000,12.4928,1,2016-03-03 07:30:00,2016-03-03 07:45:00,20.480,0.000,,,"",0.000,0.000
2002107042,2016-03-03 08:00:00,20.160,0.000,40.320,0.000,40.320,40.320,1.0000,12.2976,1,2016-03-03 08:00:00,2016-03-03 08:15:00,20.160,0.000,,,"",0.000,0.000
2002107042,2016-03-03 08:30:00,20.320,0.000,40.640,0.000,40.640,40.640,1.0000,12.3952,1,2016-03-03 08:30:00,2016-03-03 08:45:00,20.320,0.000,,,"",0.000,0.000
2002107042,2016-03-03 09:00:00,19.520,0.160,39.040,0.320,39.040,39.041,1.0000,11.9072,1,2016-03-03 09:00:00,2016-03-03 09:15:00,19.520,0.000,,,"",0.000,0.000
2002107042,2016-03-03 09:30:00,20.640,0.320,41.280,0.640,41.280,41.285,0.9999,12.5904,1,2016-03-03 09:30:00,2016-03-03 09:45:00,20.640,0.000,,,"",0.000,0.000
2002107042,2016-03-03 10:00:00,21.760,0.640,43.520,1.280,43.520,43.539,0.9996,13.2736,1,2016-03-03 10:00:00,2016-03-03 10:15:00,21.760,0.000,,,"",0.000,0.000
2002107042,2016-03-03 10:30:00,22.080,0.640,44.160,1.280,44.160,44.179,0.9996,13.4688,1,2016-03-03 10:30:00,2016-03-03 10:45:00,22.080,0.000,,,"",0.000,0.000
2002107042,2016-03-03 11:00:00,23.680,0.960,47.360,1.920,47.360,47.399,0.9992,14.4448,1,2016-03-03 11:00:00,2016-03-03 11:15:00,23.680,0.000,,,"",0.000,0.000
2002107042,2016-03-03 11:30:00,21.440,1.120,42.880,2.240,42.880,42.938,0.9986,13.0784,1,2016-03-03 11:30:00,2016-03-03 11:45:00,21.440,0.000,,,"",0.000,0.000
2002107042,2016-03-03 12:00:00,23.840,1.280,47.680,2.560,47.680,47.749,0.9986,14.5424,1,2016-03-03 12:00:00,2016-03-03 12:15:00,23.840,0.000,,,"",0.000,0.000
2002107042,2016-03-03 12:30:00,21.120,1.440,42.240,2.880,42.240,42.338,0.9977,12.8832,1,2016-03-03 12:30:00,2016-03-03 12:45:00,21.120,0.000,,,"",0.000,0.000
2002107042,2016-03-03 13:00:00,24.640,1.760,49.280,3.520,49.280,49.406,0.9975,15.0304,1,2016-03-03 13:00:00,2016-03-03 13:15:00,24.640,0.000,,,"",0.000,0.000
2002107042,2016-03-03 13:30:00,24.480,1.600,48.960,3.200,48.960,49.064,0.9979,14.9328,1,2016-03-03 13:30:00,2016-03-03 13:45:00,24.480,0.000,,,"",0.000,0.000
2002107042,2016-03-03 14:00:00,21.760,1.600,43.520,3.200,43.520,43.637,0.9973,13.2736,1,2016-03-03 14:00:00,2016-03-03 14:15:00,21.760,0.000,,,"",0.000,0.000
2002107042,2016-03-03 14:30:00,24.000,1.600,48.000,3.200,48.000,48.107,0.9978,14.6400,1,2016-03-03 14:30:00,2016-03-03 14:45:00,24.000,0.000,,,"",0.000,0.000
2002107042,2016-03-03 15:00:00,21.760,1.760,43.520,3.520,43.520,43.662,0.9967,13.2736,1,2016-03-03 15:00:00,2016-03-03 15:15:00,21.760,0.000,,,"",0.000,0.000
2002107042,2016-03-03 15:30:00,21.920,1.600,43.840,3.200,43.840,43.957,0.9973,13.3712,1,2016-03-03 15:30:00,2016-03-03 15:45:00,21.920,0.000,,,"",0.000,0.000
2002107042,2016-03-03 16:00:00,21.120,1.600,42.240,3.200,42.240,42.361,0.9971,12.8832,1,2016-03-03 16:00:00,2016-03-03 16:15:00,21.120,0.000,,,"",0.000,0.000
2002107042,2016-03-03 16:30:00,20.160,1.760,40.320,3.520,40.320,40.473,0.9962,12.2976,1,2016-03-03 16:30:00,2016-03-03 16:45:00,20.160,0.000,,,"",0.000,0.000
2002107042,2016-03-03 17:00:00,20.000,1.920,40.000,3.840,40.000,40.184,0.9954,12.2000,1,2016-03-03 17:00:00,2016-03-03 17:15:00,20.000,0.000,,,"",0.000,0.000
2002107042,2016-03-03 17:30:00,21.920,1.920,43.840,3.840,43.840,44.008,0.9962,13.3712,1,2016-03-03 17:30:00,2016-03-03 17:45:00,21.920,0.000,,,"",0.000,0.000
2002107042,2016-03-03 18:00:00,22.400,1.920,44.800,3.840,44.800,44.964,0.9963,13.6640,1,2016-03-03 18:00:00,2016-03-03 18:15:00,22.400,0.000,,,"",0.000,0.000
2002107042,2016-03-03 18:30:00,24.960,1.920,49.920,3.840,49.920,50.067,0.9971,15.2256,1,2016-03-03 18:30:00,2016-03-03 18:45:00,24.960,0.000,,,"",0.000,0.000
2002107042,2016-03-03 19:00:00,22.400,1.760,44.800,3.520,44.800,44.938,0.9969,13.6640,1,2016-03-03 19:00:00,2016-03-03 19:15:00,22.400,0.000,,,"",0.000,0.000
2002107042,2016-03-03 19:30:00,21.760,1.600,43.520,3.200,43.520,43.637,0.9973,13.2736,1,2016-03-03 19:30:00,2016-03-03 19:45:00,21.760,0.000,,,"",0.000,0.000
2002107042,2016-03-03 20:00:00,21.600,1.120,43.200,2.240,43.200,43.258,0.9987,13.1760,1,2016-03-03 20:00:00,2016-03-03 20:15:00,21.600,0.000,,,"",0.000,0.000
2002107042,2016-03-03 20:30:00,19.520,0.800,39.040,1.600,39.040,39.073,0.9992,11.9072,1,2016-03-03 20:30:00,2016-03-03 20:45:00,19.520,0.000,,,"",0.000,0.000
